id,category,name,aliases,calories,protein,fat,saturated_fat,carbs,fiber,sugar,sodium,trans_fat_g
A0100101,穀物類,大麥仁,"小薏仁,洋薏仁,珍珠薏仁",346.6895,8.5578,1.5935,0.4673,77.1418,8.4591,0.425,12.6115,0.0
A0110101,穀物類,大麥片,,351.8982,8.636,1.79,0.4558,76.6666,5.9987,,7.185,
A0120101,穀物類,大麥仁粉,"小薏仁粉,洋薏仁粉,珍珠薏仁粉",373.5733,7.118,1.3142,0.3678,84.9554,7.2048,0.0,9.83,
A0200101,穀物類,小米,"狐尾粟,谷子,粟,粱,稷",365.4819,11.3135,3.655,0.4416,71.6907,2.2226,,1.0,
A0200102,穀物類,小米(2025年取樣),"狐尾粟,谷子,粟,粱,稷",370.8845,10.991,3.936,0.546,73.5902,3.8803,0.705,0.0,0.0
A0200201,穀物類,糯小米,,357.167,12.465,1.5164,0.2565,72.5162,1.4293,0.0,1.206,
A0300101,穀物類,小麥,,337.7443,14.118,2.565,0.4667,69.1678,11.2724,,1.37,
A0310101,穀物類,小麥胚芽,,395.8457,31.362,11.585,1.7347,47.9154,9.98,,3.115,
A0320101,穀物類,去筋麵粉,澄粉,353.9987,0.181,0.1165,0.0,85.7443,0.4484,0.0,28.606,
A0320202,穀物類,低筋麵粉,,359.4091,8.0855,1.175,0.2458,78.1938,1.9804,,1.43,
A0320301,穀物類,中筋麵粉,,357.1774,11.4535,1.31,0.2763,74.0972,1.8165,,3.65,
A0320404,穀物類,高筋麵粉,,357.5894,12.945,1.19,0.2538,73.0587,1.881,,0.8,
A0320405,穀物類,高筋麵粉(2021年取樣),強力粉,356.9877,13.805,1.2755,0.4902,72.2213,2.4611,0.333,0.98,0.0
A0320505,穀物類,全麥麵粉,,342.2919,12.968,1.706,0.3209,71.429,8.0093,0.3445,1.6383,
A0320601,穀物類,雜糧中筋麵粉,,349.5735,13.113,2.2865,0.6377,71.978,5.6845,0.835,1.906,
A0320702,穀物類,雜糧高筋麵粉,,349.6557,14.288,2.7543,0.7869,69.589,5.3205,1.054,2.3,
A0400101,穀物類,白玉米,,57.9808,3.4,0.64,,11.45,3.7,,5.0,
A0400201,穀物類,糯玉米(紫色),,157.4456,4.461,1.032,0.286,34.4208,4.9285,,0.9235,
A0400301,穀物類,甜玉米,"玉米,黃玉米",96.9226,3.25,2.4772,0.7305,17.8305,4.7079,6.954,1.8639,
A0400401,穀物類,雙色水果玉米,"玉米,黃玉米",96.8607,3.104,2.5503,0.7307,17.4564,4.0294,7.795,0.212,
A0400501,穀物類,糯玉米(雙色),,164.7881,4.727,1.898,0.5357,33.4494,3.4869,1.0849,1.17,
A0400601,穀物類,冷凍玉米粒,,167.0066,3.1,8.2,,22.53,3.1,,8.0,
A0410101,穀物類,乾玉米粒,,345.8602,10.8765,3.9421,0.6193,72.2077,12.8104,0.504,0.744,
A0410201,穀物類,玉米胚芽,"玉米仁,珍珠米",353.8919,7.035,0.8954,0.1276,80.3116,5.6572,0.0,1.3895,
A0420101,穀物類,玉米粉,,368.176,0.323,0.4163,0.0752,88.3084,0.1896,0.0,13.778,
A05001,穀物類,秈米平均值,"在來米,長米",355.3957,7.823,0.8554,0.3541,77.3827,0.5512,0.0,1.8395,
A0500101,穀物類,秈米(台中在來2號),"在來米,長米",353.728,8.2,1.0,,76.3,0.5,,2.0,
A0500102,穀物類,秈米(台中秈10號),"在來米,長米",357.0634,7.446,0.7108,0.2943,78.4653,0.6023,0.0,1.679,
A0500103,穀物類,秈米(台中秈10號)(2024年取樣),"在來米,長米",355.8069,6.114,0.56,0.2207,79.8055,0.7475,0.149,0.0,0.0
A05002,穀物類,稉米平均值,"蓬萊米,圓米",352.4847,7.0319,0.6964,0.2078,77.8224,0.692,0.0868,2.0019,
A0500201,穀物類,稉米(台中189號),"蓬萊米,圓米",354.8937,7.5,0.56,0.1211,78.0588,0.34,,2.76,
A0500202,穀物類,稉米(台南11號),"蓬萊米,圓米",346.7403,6.741,0.4819,0.1903,77.1738,0.7578,0.0,2.107,
A0500203,穀物類,稉米(台稉2號),"蓬萊米,圓米",355.4993,7.205,0.5069,0.1437,78.7163,0.5784,0.0,2.3843,
